,0
2024-05-16,2441.792269143973
2024-05-17,2440.960849341412
2024-05-21,2444.2823842190046
2024-05-22,2455.0427509789192
2024-05-23,2499.891160498037
2024-05-24,2495.13380508952
2024-05-27,2490.0346456526054
2024-05-28,2479.6888268880607
2024-05-29,2462.084253941303
2024-05-30,2441.3872672125754
2024-05-31,2445.398447903384
2024-06-03,2528.7124659521837
2024-06-04,2365.2436898291135
2024-06-05,2437.350786020105
2024-06-06,2469.0607170438475
2024-06-07,2519.071252145745
2024-06-10,2512.0764474016237
2024-06-11,2513.7987865948758
2024-06-12,2515.2949847813193
2024-06-13,2520.076224963703
2024-06-14,2521.5190806251144
2024-06-18,2529.2132995972934
2024-06-19,2518.7847575341643
2024-06-20,2520.84803220841
2024-06-21,2518.4109349573664
2024-06-24,2519.5723421251973
2024-06-25,2536.7244994236066
2024-06-26,2561.8450296993155
2024-06-27,2581.550122274104
2024-06-28,2574.879177789599
2024-07-01,2574.879177789599
2024-07-02,2570.7574115548173
2024-07-03,2581.609650188123
2024-07-04,2592.247191954001
2024-07-05,2606.43909118701
2024-07-08,2612.0083492724248
2024-07-09,2625.339921287599
2024-07-10,2608.4344223367434
2024-07-11,2608.6065676531475
2024-07-12,2641.1821405448313
2024-07-15,2655.556662430233
2024-07-16,2660.1726411098844
2024-07-18,2692.764166850204
2024-07-19,2669.0739743635495
2024-07-22,2662.6781086344986
2024-07-23,2664.9145317043663
2024-07-24,2656.249833487715
2024-07-25,2657.420758054578
2024-07-26,2703.3707419052166
2024-07-29,2704.3869967578744
2024-07-30,2701.838169990685
2024-07-31,2716.155191555849
2024-08-01,2721.6550273951184
2024-08-02,2682.513254830031
2024-08-05,2611.1042997656036
2024-08-06,2606.652567990681
2024-08-07,2640.9121175252203
2024-08-08,2621.8991904501563
2024-08-09,2649.5974875246843
2024-08-12,2645.898357373799
2024-08-13,2630.3901433203146
2024-08-14,2638.889525443871
2024-08-16,2680.658737359089
2024-08-19,2684.996927578419
2024-08-20,2692.292378991744
2024-08-21,2699.135063762979
2024-08-22,2699.916979629891
2024-08-23,2699.5732355277955
2024-08-26,2720.0084653786234
2024-08-27,2721.99986472172
2024-08-28,2725.309913991618
2024-08-29,2734.776503675656
2024-08-30,2745.712396767012
2024-09-02,2748.2922155014276
2024-09-03,2744.853014150034
2024-09-04,2735.051001172068
2024-09-05,2728.9535805371015
2024-09-06,2692.4773798333167
2024-09-09,2701.620520764632
2024-09-10,2718.351204009545
2024-09-11,2702.7613850282646
2024-09-12,2756.1398965103645
2024-09-13,2748.099604338309
2024-09-16,2751.183111319384
2024-09-17,2758.202566482282
2024-09-18,2739.8023403581583
2024-09-19,2742.3376388820557
2024-09-20,2781.818556578661
2024-09-23,2801.924188011124
2024-09-24,2799.9885288353435
2024-09-25,2807.339079142599
2024-09-26,2826.5742230174938
2024-09-27,2822.9109215034764
2024-09-30,2783.854058671481
2024-10-01,2785.6620950464585
2024-10-03,2736.240833694799
2024-10-04,2717.06411635677
2024-10-07,2700.0260536969568
2024-10-08,2721.7577868747
2024-10-09,2717.8141217607576
2024-10-10,2719.535405961917
2024-10-11,2712.7579519863307
2024-10-14,2723.8027746447024
2024-10-15,2722.870946158086
2024-10-16,2713.6196977172863
2024-10-17,2696.3912844147676
2024-10-18,2705.2066051662564
2024-10-21,2689.7738799443423
2024-10-22,2657.6520594222575
2024-10-23,2650.888353152431
2024-10-24,2642.313024352486
2024-10-25,2627.221515484471
2024-10-28,2648.768108138725
2024-10-29,2660.3913428904384
2024-10-30,2650.4939828618853
2024-10-31,2627.4834735015866
2024-11-01,2638.7010836556856
2024-11-04,2611.911771989792
2024-11-05,2627.453265139096
2024-11-06,2670.8326861430264
2024-11-07,2647.2300096697663
2024-11-08,2642.206977023484
2024-11-11,2644.825714765462
2024-11-12,2624.9532554320463
2024-11-13,2595.4432825864105
2024-11-14,2588.923699286412
2024-11-18,2572.728396486494
2024-11-19,2575.0253183019927
2024-11-21,2547.999345855544
2024-11-22,2620.4069845760764
2024-11-25,2656.8318804829905
2024-11-26,2650.293567471204
2024-11-27,2657.942798829013
2024-11-28,2621.175428352058
2024-11-29,2652.2343699570465
2024-12-02,2665.95848760202
2024-12-03,2684.4577337893875
2024-12-04,2683.363719138898
